id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://simonwillison.net/2026/May/19/llm-gemini-2/#atom-everything,Simon Willison,llm-gemini 0.32,2026-05-19,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/llm-gemini/releases/tag/0.32"">llm-gemini 0.32</a></p>
        <blockquote>
<ul>
<li>New model <code>gemini-3.5-flash</code> for <a href=",,https://simonwillison.net/2026/May/19/llm-gemini-2/#atom-everything,,2026-05-20 06:01:39
rss_https://simonwillison.net/2026/May/19/gemini-35-flash/#atom-everything,Simon Willison,"Gemini 3.5 Flash: more expensive, but Google plan to use it for everything",2026-05-19,其他,否,"<p>Today at Google I/O, Google <a href=""https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/"">released Gemini 3.5 Flash</a>. This one skipped the <code>-preview</code> m",,https://simonwillison.net/2026/May/19/gemini-35-flash/#atom-everything,,2026-05-20 06:01:39
rss_https://simonwillison.net/2026/May/19/datasette-llm-accountant/#atom-everything,Simon Willison,datasette-llm-accountant 0.1a4,2026-05-19,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-llm-accountant/releases/tag/0.1a4"">datasette-llm-accountant 0.1a4</a></p>
        <blockquote>
<ul>
<li>Fixed bug tracking ",,https://simonwillison.net/2026/May/19/datasette-llm-accountant/#atom-everything,,2026-05-20 06:01:39
rss_https://simonwillison.net/2026/May/19/llm-gemini/#atom-everything,Simon Willison,llm-gemini 0.32a0,2026-05-19,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/llm-gemini/releases/tag/0.32a0"">llm-gemini 0.32a0</a></p>
        <blockquote>
<ul>
<li>Compatible with <code>llm&gt;=0.32a0</code> alph",,https://simonwillison.net/2026/May/19/llm-gemini/#atom-everything,,2026-05-20 06:01:39
rss_https://simonwillison.net/2026/May/19/datasette-llm/#atom-everything,Simon Willison,datasette-llm 0.1a8,2026-05-19,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-llm/releases/tag/0.1a8"">datasette-llm 0.1a8</a></p>
        <blockquote>
<ul>
<li>Fix for bug where <code>llm_prompt_contex",,https://simonwillison.net/2026/May/19/datasette-llm/#atom-everything,,2026-05-20 06:01:39
rss_https://openai.com/index/model-disproves-discrete-geometry-conjecture,OpenAI,An OpenAI model has disproved a central conjecture in discrete geometry,2026-05-20,其他,否,"An OpenAI model solved the 80-year-old unit distance problem, disproving a major conjecture in discrete geometry and marking a milestone in AI-driven mathematics.",,https://openai.com/index/model-disproves-discrete-geometry-conjecture,,2026-05-21 06:05:16
rss_https://blog.google/innovation-and-ai/infrastructure-and-cloud/global-network/missouri-programs/,Google AI,We’re announcing new community investments in Missouri.,2026-05-20,其他,否,"<img src=""https://storage.googleapis.com/gweb-uniblog-publish-prod/images/MissouriSocial.max-600x600.format-webp.webp"" />We’re helping build the state’s next-generation workforce and investing in ener",,https://blog.google/innovation-and-ai/infrastructure-and-cloud/global-network/missouri-programs/,,2026-05-21 06:05:16
rss_https://huggingface.co/blog/allenai/olmoearth-v1-1,Hugging Face,OlmoEarth v1.1: A more efficient family of Earth observation models,2026-05-19,其他,否,,,https://huggingface.co/blog/allenai/olmoearth-v1-1,,2026-05-21 06:05:17
rss_https://simonwillison.net/2026/May/20/google-io/#atom-everything,Simon Willison,"Google I/O, Gemini Spark, Antigravity",2026-05-20,其他,否,"<p>It's hard to find much to write about Google I/O this year because I have a policy of not writing about anything that I can't try out myself, and a lot of the big announcements are ""coming soon"".</",,https://simonwillison.net/2026/May/20/google-io/#atom-everything,,2026-05-21 06:05:19
rss_https://deepmind.google/blog/were-launching-the-google-deepmind-accelerator-program-in-asia-pacific-to-tackle-environmental-risks/,Google DeepMind,We’re launching the Google DeepMind Accelerator program in Asia Pacific to tackle environmental risks,2026-05-21,其他,否,,,https://deepmind.google/blog/were-launching-the-google-deepmind-accelerator-program-in-asia-pacific-to-tackle-environmental-risks/,,2026-05-22 06:01:29
rss_,Microsoft Research,"MagenticLite, MagenticBrain, Fara1.5: An agentic experience optimized for small models",2026-05-21,其他,否,<p>MagenticLite is an agentic system for small models that works across the browser and local file system in a single workflow. It combines specialized models and orchestration to support efficient ag,,https://www.microsoft.com/en-us/research/blog/magenticlite-magenticbrain-fara1-5-an-agentic-experience-optimized-for-small-models/,,2026-05-22 06:01:31
rss_https://simonwillison.net/2026/May/21/datasette-agent/#atom-everything,Simon Willison,Datasette Agent,2026-05-21,其他,否,"<p>We just <a href=""https://datasette.io/blog/2026/datasette-agent/"">announced the first release of Datasette Agent</a>, a new extensible AI assistant for Datasette. I've been working on my <a href=""h",,https://simonwillison.net/2026/May/21/datasette-agent/#atom-everything,,2026-05-22 06:01:31
rss_https://simonwillison.net/2026/May/21/datasette-agent-sprites/#atom-everything,Simon Willison,datasette-agent-sprites 0.1a0,2026-05-21,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-agent-sprites/releases/tag/0.1a0"">datasette-agent-sprites 0.1a0</a></p>
        <p>A Datasette Agent plugin for running com",,https://simonwillison.net/2026/May/21/datasette-agent-sprites/#atom-everything,,2026-05-22 06:01:31
rss_https://simonwillison.net/2026/May/21/datasette-agent-charts/#atom-everything,Simon Willison,datasette-agent-charts 0.1a2,2026-05-21,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-agent-charts/releases/tag/0.1a2"">datasette-agent-charts 0.1a2</a></p>
        <blockquote>
<ul>
<li>""View SQL query"" button",,https://simonwillison.net/2026/May/21/datasette-agent-charts/#atom-everything,,2026-05-22 06:01:31
